      1 Nocardiopsis sp.
      1 Nocardiopsis sp.
      1 Nocardiopsis sp.
      1 Nocardiopsis sp.
      1 Nocardiopsis sp.
      1 Nocardiopsis sp.
      1 Nocardiopsis sp.
      1 Nocardiopsis sp.
      1 Nocardiopsis sp.
      1 Nocardiopsis sp.
      1 Nocardiopsis sp.
      1 Nocardiopsis sp.
      1 Nocardiopsis sp.
      1 Nocardiopsis sp.
      1 Nocardiopsis sp.
      1 Nocardiopsis sp.
      1 Nocardiopsis sp.
      1 Nocardiopsis sp.
      1 Nocardiopsis sp.
      1 Oscillospira sp.
      1 Paenibacillus antarcticus
      1 Paraburkholderia tropica;bacterium
      1 Pedobacter sp.
      1 Pedobacter sp.
      1 Pedobacter sp.
      1 Pelomonas puraquae
      1 Phenylobacterium immobile
      1 Phenylobacterium immobile
      1 Planococcaceae bacterium
      1 Pseudarthrobacter oxydans
      1 Pseudarthrobacter siccitolerans
      1 Pseudoflavonifractor sp.
      1 Pseudomonas sp.
      1 Pseudomonas sp.
      1 Rheinheimera sp.
      1 Rhizobium sp.
      1 Rhizobium sp.
      1 Rhodococcus sp.
      1 Rhodococcus sp.
      1 Rhodococcus sp.
      1 Roseburia sp.
      1 Roseburia sp.
      1 Rubrobacter xylanophilus
      1 Ruminococcus flavefaciens
      1 Ruminococcus flavefaciens
      1 Ruminococcus flavefaciens
      1 Ruminococcus flavefaciens
      1 Ruminococcus flavefaciens
      1 Ruminococcus flavefaciens
      1 Ruminococcus sp.
      1 Ruminococcus sp.
      1 Ruminococcus sp.
      1 Ruminococcus sp.
      1 Ruminococcus sp.
      1 Ruminococcus sp.
      1 Ruminococcus sp.
      1 Saccharopolyspora rectivirgula
      1 Saccharopolyspora rectivirgula
      1 Saccharopolyspora sp.
      1 Saccharopolyspora sp.
      1 Saccharopolyspora sp.
      1 Saccharopolyspora sp.
      1 Salinibacterium xinjiangense
      1 Salinibacterium xinjiangense
      1 Salinibacterium xinjiangense
      1 Spartobacteria bacterium
      1 Sphaerotilus montanus
      1 Sphingobacterium sp.
      1 Sphingomonadaceae bacterium
      1 Sphingomonadaceae bacterium
      1 Sphingomonas sp.
      1 Sphingomonas sp.
      1 Sphingomonas sp.
      1 Sphingomonas sp.
      1 Sphingomonas sp.
      1 Staphylococcus succinus
      1 Staphylococcus succinus
      1 Staphylococcus succinus
      1 Staphylococcus succinus
      1 Staphylococcus succinus
      1 Staphylococcus succinus
      1 Staphylococcus succinus
      1 Staphylococcus succinus
      1 Staphylococcus succinus
      1 Staphylococcus succinus
      1 Staphylococcus succinus
      1 Staphylococcus succinus
      1 Staphylococcus succinus
      1 Staphylococcus succinus
      1 Staphylococcus succinus
      1 Staphylococcus succinus
      1 Staphylococcus succinus
      1 Staphylococcus succinus
      1 Staphylococcus succinus
      1 Staphylococcus succinus
